0.568 liter, pint
kokain, cocaine
kokainschnupfer, snowbird
köker, hawker
kokette, coquette
kokette, flirtatiously
kokettere, more coquettish
koketterie, coquetry
koketterien, coquetries
koketteste, most coquettish
kokett, flirtatious
kokettierend, coquetting
kokettiert, coquettes
kokettierte, coquetted
kokon, cocoon
kokosnuss, coconut
kokosnuß, coconut
kokosnußreliquiar, coconut-reliquary
kokospalme, coco
kokospalme, coco palm
kokospalmen, cocos
koks, coke
kolabäume, colas
kolbenboden, piston crown
kolbenbolzenauge, piston boss
kolbenbolzenbuchse, small end bush
kolbenbolzen, gudgeon pin
kolben, flask
kolbenhemd, piston skirt
kolben, piston
kolbenring, piston ring
kolbenschaft, piston skirt
kolibri, hummingbird
kolibris, snowcaps
kolikartig, colicky
kolik, colic
koliken, colics
kollaborateur, collaborationist
kollaboration, collaboration
kollaborationen, collaborations
kollaborator, collaborator
kollarhemd, clerical shirt
kollar, rabat
kollationierend, collating
kollationiert, collates
kollationierte, collated
kolleg, course of lectures
kollege, brother
kollege, colleague
kollegen, colleagues
kollegial, collegial
kollegialere, more co operative
kollegialiäten, collegialities
kollegialität, colleagueship
kollegialität, collegiality
kollegien, councils
kollegium, council
kollekte, collecte
kollekten, collectes
kollektenteller, collection-plate
kollektion von ausfallmustern, collection of patterns
kollektivbesitz, collective ownership
kollektiv, collective
kollektives, collectively
kollektivierung, collectivization
kollektivismus, collectivism
kollektivprämie, colective bonus
kollektivprämie, collective bonus
kollektivversicherung, group insurance
kollektor, collector
koller, staggers
kollidieren, clash
kollidieren, collide
kollidierend, colliding
kollidieren mit, clash with
kollidiert, collides
kollidierte, collided
kollimator, collimator
kollision, collision
kollisionen, collisions
kollisionserkennung, collision detection
kollisionsklausel beidseitiges verschulden, both-to-blame collision clause
kolloid, colloid
kolloide, colloids
kolloquien, colloquia
kolloquium, colloquium
kollusion, collusion
kollusionen, collusions
köln, cologne
kölner borten, cologne borders
kolonial, colonial
kolonialismus, colonialism
kolonialstadt, colonial town
kolonialwarenhändler, grocer
kolonie, colony
kolonien, colonies
kolonisation, colonization
kolonisieren, colonize
kolonisierend, colonizing
kolonisiert, colonizes
kolonisierte, colonized
kolonist, colonist
kolonisten, colonists
kolonistisch, colonialistic
kolonnade, colonnade
kolonnaden, colonnades
kolonnadenplatz, colonnaded square
kolonne, band
kolonnenführer, gang leader
kolonnenverschiebung, column shift
kolophonium, rosin
kolorierung, coloration
kolossalität, enormousness
kolossal, whopping
koloss, hulk
koloß, jumbo
kolumbien, colombia
kolumne, column
kolumnentitel, running title
kolumnist, columnist
kombinat, combination
kombination, combination
kombinationen, combinations
kombinationsfilter, composite filter
kombinationsglied, multi function unit
kombinationsläufe, combination runs
kombinationsnetz, hybrid network
kombinationsschloß, puzzlelock
kombinationsschlüssel, match code
kombinationstastatur, combined keyboard
kombinatorische logik, combinational logic
kombinierend, combining
kombinieren, join
kombiniert, combined
kombinierte, combined
kombinierte neu, recombined
kombinierter tarif, combined rate
kombinierter transport, combined transport
kombinierte transportdokumente, combined transport documents
kombinierte transportdokumente, combined transportdocuments
kombiniert neu, recombines
kombiwagen, estate car
kombiwagen, station-wagon
kombizange, engineers pliers
kombologion, komvoschinion
kombüse, caboose
kombüsen, cabooses
komet, comet
kometen, comets
kometenhaft, cometlike
komfortabel, comfortable
komfortabelste, most luxurious
komfortabler, comfortablier
komfortablere, more luxurious
komfortabler urlaubsort, pleasant holiday resort
komfort, comfort
komfort, convenience
komiker, comedian
komikerin, comedienne
komik, humor
komisch, comic
komische, comically
komische käuze, fogeys
komischere, funnier
komischer, freakier
komischer kauz, fogey
komisch, funny
komisch, odd
komisch, queerish
komisch, rummy
komischste, freakiest
komission, comission
komissionen, comissions
komitee, body
kommaausrichtung, decimal alignment
komma, comma
kommandant, commandant
kommandieren, command
kommandierend, bossing
kommandierte, bossed
kommanditgesellschaft auf aktien, association limited by shares
kommanditgesellschaft, limited partnership
kommanditist, partner liable to a fixed amount
kommandobrücke, conning bridge
kommando, command
kommando, commandership
kommandosprache, command language
kommandostäbe, truncheons
kommandostab, truncheon
kommandotruppe, commando
kommandotruppen, commandos
kommandozustand, command mode
kommas, commas
kommastellung, point position
kommata, commas
komm auf die erde zurück, come down to earth
kommaverschiebung, point shifting
komm, come
komm doch, do come
kommen, come
kommend, coming
kommende, comer
kommenden montag, next monday
kommend, oncoming
kommen lassen, send for
kommen sie ihren verbindlichkeiten nach, do they meet their liabilities
kommen sie ihren verbindlichkeiten nach, do they meet their obligations
kommen sie mir nicht mit ausreden, none of your excuses
kommen sie morgen zu mir, see me tomorrow
kommentar, annotation
kommentar, comment
kommentare, commentaries
kommentarfeld, comment field
kommentarverarbeitung, comment processing
kommentarzeile, comment line
kommentator, annotator
kommentatoren, commentators
kommentator, expositor
kommentieren, annotate
kommentierend, annotating
kommentiert, annotates
kommentiert, commented
kommentierte, annotated
kommen zusammen, are brought into contact
kommerzialisiere, commercialize
kommerzialisierend, commercializing
kommerzialisiert, commercializes
kommerzialisierte, commercialized
kommerzialisierung, commercialization
kommerzialisierungen, commercializations
kommerziell, commercial
kommerzielle anwendung, business application
kommerzielle auswertung, exploitation
kommerzielle datenverarbeitung, business data
kommerziellere, more commercial
kommerzieller kleinrechner, small business computer
kommerzielles und-zeichen, ampersand
kommerziellste, most commercial
komm ganz bestimmt, don't fail to come
komm herein, come in
kommilitone, fellow student
komm in den garten, come into the garden
kommissar, commissar
kommissare, commissioners
kommissionär, commission agent
kommissionär, commission merchant
kommissionär, factor
kommission, commission
kommission, committee
kommission, consignment
kommissionen, commissions
kommission für internationales handelsrecht der vereinten nationen, uncitral
kommissionsgeschäft, commission business
kommissionsnummer, commission number
kommissionsware, goods on consignment
kommissionsware, goods on sale or return
komm mit, come along
komm mit mir, go along with me
kommode, bureau
kommode, chest of drawers
kommode, commode
kommoden, chests of drawers
kommodore, commodore
kommodoren, commodores
kommt an, arrives
kommt, comes
kommt dazwischen, intervenes
kommt gar nicht in frage, is quite out of the question
kommt herunter, descends
kommt näher, approximates
kommt nicht in frage, is out of the question
kommt um, perishes
kommt voran, progresses
kommt vor, occurs
kommt weiter, forthcomes
kommt wieder vorbei, repasses
kommunalabgaben, local rates
kommunalanleihe, municipal loan
kommunalbehörde, local authority
kommunal, communal
kommunale, communally
kommunalisierend, municipalizes
kommunalisieren, municipalize
kommunalisierte, municipalized
kommunalisierung, municipalization
kommunalobligation, assessment bond
kommunalobligationen, municipal debentures
kommunalobligation, municipal bond
kommunalsteuer, local tax
kommunalverwaltung, local government
kommune, commune
kommunikant, communicant
kommunikation, communicating
kommunikationen, communications
kommunikationsbereich, communications
kommunikationsmethoden, comware
kommunikationsmittel, means of communication
kommunikationsprotokoll, communications protocol
kommunikationsprotokoll, communicationsprotocol
kommunikationssatellit, comsat
kommunikationssteuerung, communication control
kommunikationstheorie, communication theory
kommunikativ, communicative
kommunikative, communicatively
kommunionandenken, memento of the first communion
kommunionbanktuch, houselling cloth
kommunion, communion
kommuniongeräte, communion-plates
kommunion, holy communion
kommunionpatene, communion-paten
kommunion unter beiden gestalten, holy communion in both kinds
kommunion unter einer gestalt, holy communion in one kind
kommunismus, communism
kommunist, communist
kommunisten, communists
kommunistisch, communistic
kommunistische, communistically
kommunizieren, commune
kommunizierend, communing
kommuniziert, communes
kommunizierte, communed
kommunmauer, common wall
kommutativ, commutative
kommutativgesetz, commutative law
komödiant, comedian
komödie, comedy
komödien, comedies
komoren, comoros
kompaktbauweise, compact design
kompaktbildplatte, compact videodisk
kompakt, compact
kompaktdiskette, compact floppy disk
kompaktere, more compact
kompakteste, most compact
kompaktheit, compactness
kompaktifizierung, compactification
kompaktplatte, compact disk
kompanie, company
kompanten, compasses
komparativ, comparative
komparator, comparator
kompass, compass
kompatibel, compatible
kompatibilität, compatibility
kompatible, compatibles
kompendium, comprisal
kompensation, compensation
kompensationsabkommen, barter arrangement
kompensationsgeschäft, barter transaction
kompensationsgeschäft, cross trade
kompensationsgeschäfte, compensation transactions
kompensieren, compensate
kompensiert, compensated
kompensierung, compensation
kompetent, able
kompetent, capable
kompetent, competent
kompetent, proficient
kompetent, qualified
kompetenzbereich, area of discretion
kompetenzbereich der abteilung, scope of the department
kompetenzbereiche, spheres of competence
kompetenz, competence
kompetenzstreit, question of authority
kompetenzverteilung, allocation of rights and duties
kompilation, compilation
komplementär, complementary
komplementärgüter, complementary goods
komplementärprodukte, complementary goods
komplementbildung, complementation
komplementbildung, complementing
komplement, complement
komplementiereinrichtung, complementer
komplementieren, complementing
komplementierung, complementation
komplett, complete
komplettere, more complete
kompletteste, most complete
komplex, complex
komplexe, complexes
komplexe zahl, complex number
komplexität, complexness
komplikation, complication
komplikationen, intricacies
komplimentär, complementary
komplimentär, complimentary
komplimentärprodukte, complimentary goods
kompliment, compliment
komplimente, compliments
komplize, accomplice
komplizen, accomplices
kompliziere, complicate
komplizieren, complicate
komplizierend, complicating
kompliziert, complex
kompliziert, complicated
komplizierte, complicated
kompliziertere, more complicated
komplizierteste, most complicated
kompliziertheit, complexity
kompliziertheit, intricacy
kompliziert, intricate
kompliziert, involved
kompliziert machen, complicate
komplott, conspiration
komponent, component
komponente, component
komponenten, components
komponentenseite, component side
komponieren, compose
komponiert, composes
komponist, composer
kompositbaluster, composite baluster
kompositbogen, arch with straight and curved parts
komposition, composition
kompositionen, compositions
kompositkapitell, composite capital
kompositstufe, step with complex plan
kompost, compost
kompott, stewed fruit
komprehensiv, comprehensive
kompressen, compresses
kompression, compression
kompressor, compressor
kompressoren, compressors
kompressor, supercharger
komprimierbar, compressible
komprimierbarkeit, compressibility
komprimieren, compress
komprimierend, compressing
komprimieren, pack
komprimieren, to compress
komprimiert, compressed
komprimierte, squeezed
komprimiert, packed
komprimierung, compression
kompromiss, compromise
kompromiß, compromise
kompromisslose, intransigently
kompromisslosere, more uncompromising
kompromissloseste, most uncompromising
kompromißlosigkeit, thoroughgoingness
kompromisslos, intransigent
kompromißlos, thoroughgoing
kompromisslos, uncompromising
kompromißlos, uncompromising
kompromisslösung, compromise solution
kompromiss schließen, compromise
kompromiß schließen, compromise
kompromiss schließend, compromising
kompromissvorschlag, compromise proposal
kompromittieren, compromise
konche, conch
konchentrompe, spherical squinch
kondensat, condensate
kondensator, capacitor
kondensator, condenser
kondensatoren, condensers
kondensatorspeicher, capacitor storage
kondensierbar, condensable
kondensieren, condense
kondensierend, condensing
kondensiert, condensed
kondensiert, condenses
kondensierte, condensed
kondensmilch, evaporated milk
kondensstreifen, contrail
kondenswasser, condensation
konditidional, conditional
konditionenanpassung, adjustment of terms
konditionen, conditions
konditionengestaltung, arrangement of terms
konditionierend, conditioning
konditionstraining, fitness training
konditor, confectioner
konditorei, confectioner
konditoren, confectioners
konditorwaren, confectionary
kondolieren, condole
kondolierend, condoling
kondolierende, condolingly
kondoliert, condoles
kondolierte, condoled
kondom, condom
kondor, condor
konfekt, comfit
konfekt, confection
konfekt, confectionary
konfekte, confections
konfektionshaus für kinder, juvenile warehouse
konfektionskleidung, ready-made clothing
konfektionsware, ready-made
konfekt, sweetmeats
konferenz, conference
konferenzen, conferences
konferenzgetränke eindecken, conference drinks set up
konferenz, meeting
konferenz mit beiträgen zu einem thema, symposium
konferenzteilnehmer, conferee
konferenztisch, conference table
konferenzzentrum, conference centre
konferenzzimmer, meeting room
konfession, denomination
konfessionell, denominational
konfessionelles, denominationally
konfessionen, denominations
konfessionslos, undenominational
konfessionsschule, denominational school
konfetti, confetti
konfiguration, configuration
konfigurationen, configurations
konfigurieren, configure
konfigurierend, configuring
konfiguriert, configured
konfirmand, confirmee
konfirmanden, confirmees
konfirmation, confirmation
konfiszieren, confiscate
konfiszierend, confiscating
konfisziert, confiscated
konfiszierung, confiscation
konfitüre, jam
konflikt, conflict
konflikte, conflicts
konform, conformable
konforme, conformably
konformität, conformance
konformität, conformity
konformitäten, conformities
konfrontieren, confront
konfrontierend, confronting
konfrontiert, confronted
konfrontiert, confronts
konfrontierte, confronted
konfus, confused
konfusere, more confused
konfuseste, most confused
kongreßabgeordnete, congressman
kongressabgeordneter, congressman
kongress, congress
kongreß, congress
kongresse, congresses
kongresshalle, congress hall
kongreßhalle, congress hall
kongressmitglied, congressman
kongreßstoff, bunting
kongressteilnehmer, member of a congress
kongruent, congruent
kongruenz, congruence
kongruenz, congruency
kongruenzen, congruencies
konifere, conifer
koniferen, conifers
konifiziert, double butted
konifizierte rohre, butted tubing
könige, kings
königinmutter, queen mother
königinnen, queens
königin, queen
königin, regina
königinwitwe, queen dowager
könig, king
königliche haltung, kingliness
königliche herrschaft, kingship
königliche personen, royalty
königliche residenz, royal residence
königlicher kaufmann, merchant prince
königlich, kinglike
königlich, kingly
königlich, regal
königlich, royal
königreiche, kingdoms
königreich, kingdom
königreich, realm
königsburg, residential castle of a king
königshaus, royal dynasty
königskrone, royal crown
königsmord, regicide
königspalast, royal palace
königsplatz, royal square
königsschlange, boa constrictor
königssohn, king's son
königsstadt, royal town
königsstraße, royal road
königsstuhl, centre pivot
königstochter, king's daughter
königswasser, aqua regia
königswitwe, queen dowager
königswürde, regality
königswürde, royal dignity
königtum, kingship
königtum, royalty
könig von spanien, king of spain
konisch, conical
konisches gewölbe, expanding vault
konisch, tapering
konjugation, conjugation
konjugieren, conjugate
konjugierend, conjugating
konjugiert, conjugates
konjugierte, conjugated
konjunktion, conjunction
konjunktive, conjunctives
konjunktive, subjunctively
konjunktiv, subjunctive
konjunkturabschwächung, downward movement
konjunkturanalyse, business cycle analysis
konjunkturanstieg, upward trend
konjunkturaufschwung, economic boom
konjunkturausgleich, fluctuations
konjunkturaussichten, business outlook
konjunkturaussichten, business prospects
konjunkturaussichten, economic outlook
konjunkturaussichten, economic prospects
konjunkturbedingt, cyclical
konjunkturbedingt, depending on market conditions
konjunkturbedingte arbeitslosigkeit, cyclical unemployment
konjunkturbeobachter, economic forecaster
konjunktur, boom
konjunkturdämpfend, countercyclical
konjunktur, economic cycle
konjunkturell, cyclical
konjunkturelle arbeitslosigkeit, aggregate unemployment
konjunkturelle arbeitslosigkeit, cyclical unemployment
konjunkturelle entwicklung, cyclical development
konjunkturelle entwicklung, cyclical trend
konjunkturelle entwicklung, economic trend
konjunktureller abschwung, cyclical downturn
konjunktureller aufschwung, cyclical upturn
konjunkturempfindlich, cyclically sensitive
konjunkturempfindlichkeit, cyclical sensitivity
konjunkturentwicklung, business trend
konjunkturindikator, business indicator
konjunkturindikator, cyclical indicator
konjunkturindikator, economic indicator
konjunkturlage, business situation
konjunkturlage, economic climate
konjunkturlage, economic situation
konjunkturlage, economic trend
konjunkturoptimismus, business confidence
konjunkturpolitik, business cycle policy
konjunkturpolitik, trade cycle policy
konjunkturprognose, forecasting
konjunkturpuffer, cyclical shock absorber
konjunkturrückgang, recession
konjunkturschwankung, business fluctuation
konjunkturschwankung, cyclical fluctuation
konjunkturschwankung, cyclical variation
konjunkturschwankungen, cyclical fluctuations
konjunkturschwankung, fluctuation in business activity
konjunkturschwankung, fluctuation in economic activity
konjunkturtheorie, business cycle theory
konjunkturtheorie, theory of business cycles
konjunkturtheorie, trade cycle theory
konjunktur, trade cycle
konjunkturumbruch, break of the economic trend
konjunkturumfrage, business survey
konjunkturverlauf, business cycle
konjunkturverlauf, economic cycle
konjunkturverlauf, trade cycle
konjunkturvorhersage, cyclical forecast
konjunkturzyklus, business cycle
konjunkturzyklus, economic cycle
konjunkturzyklus, trade cycle
konkav, concave
konkave stufe, concave step
konklave, conclave
konklaven, conclaves
konkret, concretely
konkrete sachen, ascertained goods
konkretes angebot, concrete proposal
konkretisieren, substantiate
konkretisierung, ascertainment of goods
konkubine, concubine
konkurrent, competition
konkurrent, competitor
konkurrenten aus übersee, overseas competitors
konkurrenten, competitors
konkurrenten in übersee, overseas competitors
konkurrent, rival
konkurrenzartikel, competitive article
konkurrenz, business competition
konkurrenz, competition
konkurrenzfähig, competitive
konkurrenzfähigere, more competitive
konkurrenzfähiger preis, competitive price
konkurrenzfähigkeit, competitive position
konkurrenzfähig, on a competitive basis
konkurrenzfähigste, most competitive
konkurrenzgeschäft, rival firm
konkurrenzklausel, ancillary covenant
konkurrenzklausel, competition clause
konkurrenzlos, unrivaled
konkurrenzlos, unrivalled
konkurrenz unter herstellern, manufacturers' competition
konkurrenz unter käufern, buyers' competition
konkurrenz unter verkäufern, sellers' competition
konkurrenzware, competitive article
konkurrieren, compete
konkurrierend, competing
konkurrierende marken, competing brands
konkurrierende waren, competing products
konkurriert, competes
konkurrierte, competed
konkurs abwenden, avert bankruptcy
konkursabwendung, avoidance of bankruptcy
konkursantrag, petition in bankrupty
konkurs, bankruptcy
konkursbeschluss, administration order
konkursdelikt, act of bankruptcy
konkurse, bankruptcies
konkurserklärung, bankruptcy notice
konkurserklärung, declaration of bankruptcy
konkurserklärungen, declarations of bankruptcy
konkurseröffnung, opening of bankruptcy
konkurseröffnungsbeschluss, adjudication order
konkursgericht, court of bankruptcy
konkursgrund, act of bankruptcy
konkurs machen, go bankrupt
konkursmasse, bankruptcy assets
konkursmasse, bankrupt's assets
konkursmasse, bankrupt's estate
konkursordnung, bankruptcy act
konkursverfahren, bankruptcy proceeding
konkursverfahren, bankruptcy proceedings
konkursverfahren eröffnen, institute bankruptcy proceedings
konkursvergehen, act of bankruptcy
konkursvergehen, bankruptcy offence
konkursverwalter, official receiver
konkursverwaltung, receivership
können angenommen werden, may be accepted
können ausgeführt werden, can be executed
können direkt übersandt werden, may be sent directly
können erheblich verringert werden, can be much reduced
können ermäßigt oder verkürzt werden, may be reduced or curtailed
können sicher sein, can be sure of sth.
können sie etwas geheim halten, can you keep a secret
können sie uns einen rabatt einräumen, can you allow us a discount
können sie unseren bedarf decken, are you able to meet our requirements
können über eine andere bank übersandt werden, may be sent through another bank
können übersandt werden, may be sent
könner, artist
konnossement, bill of lading
konnossement, master's receipt
konnossement ohne einschränkung, clean bill of lading
konnossementsindossament, endorsement of a bill of lading
konnossementsklausel, bill of lading clause
konoidisches gewölbe, expanding vault
konquistador, conquistador
konsens, consensus
konsequent, consequential
konsequent, consistent
konsequenter, more consistent
konsequenteste, most consistent
konsequenz, consequence
konsequenz, consistency
konsequenzen, consequences
konservatismus, conservatism
konservativ, conservative
konservative, conservative
konservative, conservatively
konservativen, conservatives
konservativere, more conservative
konservativste, most conservative
konservatorien, academies of music
konservatorium, academy of music
konservenarbeiter, canner
konservenbüchsen, tins
konservenbüchse, tin
konservendose, tin
konservenfabrikarbeiter, canner
konservenfabrikation, canning
konservenfabrik, cannery
konservenfabriken, canneries
konservenmusik, canned music
konserven, tinned canned food
konservierbar, conservable
konservierbar, preservable
konservieren, preserve
konserviert, conserved
konservierte, canned
konservierung, conservation
konservierung, preservation
konservierungsmittel, preservative
konservierungsstoff, curing agent
konsignationsware, consigned goods
konsignationsware, consignment goods
konsistent, consistent
konsistenz, consistence
konsole, bracket
konsole, console
konsole, corbel
konsole, panel
konsolfries, arched frieze on brackets
konsolidieren, consolidate
konsolidierend, consolidating
konsolidiert, consolidates
konsolidierte bilanz, consolidated balance sheet
konsolidierte, consolidated
konsolidierung, consolidation
konsols, consolidated funds
konsomgenossenschaft, retail cooperative
konsonant, consonant
konsonanten, consonants
konsonantisch, consonantal
konsonantische, consonantally
konsortialbank, agency bank
konsortium, consortium
konspiration, conspiracy
konspirieren, collude
konspirierend, colluding
konspiriert, colludes
konspirierte, colluded
konstant, constant
konstante, absolute term
konstante außerhalb des zulässigen bereichs, constant out of range
konstante, constant
konstante erwartet, constant expected
konstante kosten, constant costs
konstanten, constants
konstanthalteeinrichtung, stabilizer
konstanthaltung, automatic constant
konstantinisches kreuz, constantinian cross
konstanz, permanence
konstellation, constellation
konstitution, constitution
konstitutionelle monarchie, constitutional monarchy
konstitution, physique
konstruieren, construct
konstruierend, constructing
konstruiert, builds
konstruierte, constructed
konstrukteur, design engineer
konstruktion, construction
konstruktion, design
konstruktionsfehler, constructional fault
konstruktionsfehler, fault in construction
konstruktionszeichner, draftsman
konstruktiv, constructive
konstruktive, constructively
konstruktive maßnahmen, design features
konstruktivere, more constructive
konstruktivität, constructiveness
konstruktivste, most constructive
konsularisch, consular
konsularisches korps, consular corps
konsularische vertretung, consular representation
konsulat, consulate
konsulatgebäude, consulate
konsulatsbeamter, consular officer
konsulatsfaktura, consular invoice
konsulatsgebühr, consular fee
konsulatsgebühren, consular charges
konsulatsgebühren, consular fees
konsul, consul
konsule, consuls
konsulen, consuls
konsulswürde, consulship
konsultation, consultation
konsultieren, consult
konsultierend, consulting
konsultiert, consults
konsultierte, consulted
konsumausgaben, consumer spending
konsumbesteuerung, tax on consumption
konsum, consumption
konsument, consumer
konsumenten, consumers
konsumentenkredit, consumer credit
konsumentenkredit, loan for consumption
konsumfunktion, consumption function
konsumgenossenschaft, consumer co-operative society
konsumgenossenschaft, industrial and provident society
konsumgenossenschaft, retail cooperative
konsumgesellschaft, consumer society
konsumgüter, consumer goods
konsumieren, consume
konsumiert, consumes
konsumladen, co-operative store
konsumlenkung, control of consumption
konsumnachfrage, consumer demand
konsumneigung, propensity to consume
konsumsteigerung, growth in consumption
konsumverein, co-op
konsumverein, coop
konsumverhalten, consumer behaviour
kontaktabzug, contact print
kontaktarm, unsociable
kontaktaufnahme, approach
kontakt aufnehmen, approach
kontakt aufnehmen, contact
kontakt aufnehmen, establish contact
kontaktbolzen, stud
kontakt, contact
kontaktdruck, contact pressure
kontakter, contact man
kontaktfeder, spring clip
kontaktfreudigere, more sociable
kontaktfreudigkeit, sociableness
kontaktfreudig, sociable
kontaktfreudigste, most sociable
kontaktgift, contact poison
kontaktieren, contact
kontaktieren, get in touch with
kontaktiert, gets in touch with
kontaktlinse, contact lens
kontaktlose, solid-state
kontaktlose steuerung, solid-state control
kontaktmann, account executive
kontaktperson, contact
kontaktpflege, public relations
kontaktplan, ladder diagram
kontaktprellen, chatter
kontaktreliquie, relic by contact
kontaktschalter, touch sensitive switch
kontaktschließzeit, make time
kontaktstift, wiring pin
kontaktverstärker, contact stiffener
kontaktzone, transition zone
kontamination, contamination
kontango, backwardation
konten abstimmen, agree accounts
kontenabstimmung, reconciliation of accounts
kontenabsummierung, account totalling
konten, accounts
kontenanalyse, account analysis
kontenänderung, change of account
kontenanzeige, accounts display
kontenart, type of account
kontenausgleich, settlement
kontenausgleich, settlement of accounts
kontenauswahl, account selection
kontenauszug, abstract of account
kontenauszug der bank, bank statement
kontenauszug, statement of account
kontenauszugþ, statement of account
kontenbearbeitung, account processing
kontenberechtigung, account authorization
kontenbeschreibung, accounts posting
kontenbestandsband, account inventory tape
kontenbezeichnung, account name
kontenbildung, account formation
kontenblatt, account form
kontenbuchung, account posting
konten der ministerien, ministerial accounts
kontenebene, account level
konten fälschen, manipulate accounts
konten führen, administer accounts
kontenführer, accountant
kontenführung, accounting method
kontengliederung, account classification
kontengruppenbezeichnung, account group title
kontenklasse, account category
kontenklasse, class of accounts
kontenpflege, accounts maintenance
kontenplan, chart of accounts
kontenpläne, charts of accounts
kontenschreibungsband, accounts posting tape
kontenspalte, account column
kontenspezifisch, account specific
kontenstamm, account master
kontenstammsatz, accounts master record
kontenstand, balance of accounts
kontensteuerung, account control
kontentabelle, account table
kontenüberziehung, overdraft
kontenverwaltung, accounts management
kontenverzeichnis, account register
kontenzuordnung, account association
kontenzusammenführung, account consolidation
kontenzusammenstellung, account composition
konteradmiral, rear admiral
konterbande, contraband
konterbatterie, counter-battery
kontereskarpe, counterscarp
kontereskarpengalerie, counterscarp-gallery
kontereskarpenkasematte, casemate in the counterscarp
kontereskarpentreppe, pas-de-souris
kontergarde, counterguard
kontermutter, check nut
konternd, countering
konterrevolution, counterrevolution
kontervallation, line of countervallation
kontext, context
kontinentales klima, continental climate
kontinent, continent
kontinente, continents
kontingent, allocation
kontingent, contingent
kontingente, contingents
kontingentierung, allocation
kontingenztabelle, contingency table
kontinuierlich, continuous
kontinuierliche fertigung, continuous production
kontinuierliche papierzuführung, continuous feed
kontinuierliche produktion, continuous production
kontinuierliche produktion, line production
kontinuität, continuity
kontinuität, continuousness
konto abschließen, close an account
kontoabstimmung, account reconciliation
kontoabtretung, assignment of account
konto, account
kontoänderung, change of account
kontoanzeige, account display
kontoart, account type
konto auflösen, close an account
kontoauszug, abstract of account
kontoauszüge, statements of account
kontoauszug, pass sheets
kontoauszug, statement
kontoauszug, statement of account
kontoauszugþ, statement of account
kontobewegung, account movements
kontobezeichnung, account designation
kontoblatt, ledger sheet
konto des begünstigten, account payee
kontoergänzung, account supplement
kontofindung, account locating
kontoform, account form
kontoführung, account management
kontoführungsgebühr, account maintenance charge
konto für reserven aus reingewinn, earned surplus account
konto für unklare posten, overs and shorts
konto geschlossen, account closed
kontogruppe, account group
konto in ausländischer währung, foreign currency account
kontoinhaber, account holder
kontoinhaber, holder of an account
kontoinhaber, owner of an account
kontokarte, account card
kontoklartext, account plain text
kontoklassifikation, account classification
kontokorrent, account current
kontokorrenteinlagen, deposits on current account
kontokorrentgeschäft, account-current business
kontokorrentguthaben, cash at call
kontokorrentkonto, current account
kontokorrentkredit, advance on current account
kontokorrentkredit, open credit
kontokorrentkunde, current account customer
kontokorrent, open account
kontolaufzeit, account duration
kontolleur, inspector
kontonummer, account number
kontonummernaufbau, account number setup
kontonummernergänzung, account number supplement
kontonummernstelle, account number position
konto ohne umsätze, dead account
kontopflege, account maintenance
kontosalden, account balance
kontosaldo, account balance
konto schließen, balancing an account
kontoschlüssel, account code
kontospesen, account carrying charges
kontostammsatz, account master record
kontostand, account balance
kontostand, balance
kontotyp, account type
kontoüberschrift, account header
kontoüberziehung, overdraft
kontoumsatz, account turnover
kontoumsatzgebühr, activity charge
kontounterlagen, account files
kontoverzeichnis, accounts register
kontrabande, contraband
kontrabass, contrabass
kontrahend, contracting party
kontraindikation, contraindication
kontraindikationen, contraindications
kontrakt, contract
kontraktion, contraction
kontraktor, contractor
kontraproduktiv, counterproductive
kontraproduktive, counterproductively
kontrapunkt, counterpoint
kontrapunktisch, contrapuntal
kontrapunktische, contrapuntally
kontrastarm, low-contrast
kontrast, contrast
kontrastentscheidung, accentuated contrast
kontrastmittel, radiopaque material
kontrastregulierung, contrast adjustment
kontrast suchen, seek a contrast
kontrastwirkung, contrasting effect
kontrast zu den alpen, contrast to the alps
kontravalenz, anticoincidence
kontrollabschnitt, stub
kontrollampe, active light
kontrollbehörde, control authority
kontrollbus, control bus
kontrolle, check
kontrolle, control
kontrolle der bewegung der zahlungsmittel, control of currency movement
kontrolleinheit, control unit
kontrolle, inspection
kontrollen, controls
kontrollesen, read-after-write check
kontrollesen, read after write verify
kontrolleuchte, pilot lamp
kontrolleur, controller
kontrolleur, tally clerk
kontrollgang, round
kontrollierbar, manageable
kontrollieren, check
kontrollieren, control
kontrollierend, controlling
kontrollieren, inspect
kontrolliert, checked
kontrollierte, controlled
kontrollierter preis, administered price
kontrollinterview, call-back
kontroll-liste, check list
kontrollmarkierung, checkmark
kontrollmaßnahmen, means of control
kontrollpunkt, checkpoint
kontrollrehister, control register
kontrollrückkopplung, monitoring feedback
kontrollschaltkreis, controller
kontrollstelle, board of control
kontrollturm, control tower
kontrolluntersuchung, check study
kontrollvermerk, check mark
kontrollzeichen, control character
kontrollzeichen, tick
kontrollzeit, check time
kontrollzeitstudie, check study
kontrollzeitstudie, proof study
kontrollzettel, tally sheet
kontroverse, controversy
kontroversen, controversies
kontur, outline
konus, cone
konvektion, convection
konvektionsleiter, convector
konvent, convent
konventionalstrafe, penalty for non-performance
konvention, convention
konventionell, conventional
konventionelles muster, conventional design
konventionen, conventions
konvergent, convergent
konvergenz, convergence
konvergenzradius, radius of convergence
konvergenzthese, convergence thesis
konvergieren, converge
konvergierend, converging
konvergierende treppenarme, convergent flights
konvergiert, converges
